377
12
|
Class1|Class2|Class3|Class4|Class5|Class6|Class7|Class8|Class9|Class10|Class11|Class12|Class|Orig_Format|Duplicate_Format|Duplicate|RGB/BW|FileName|Orig_ImgFileName|Tensmeyer_Nb
0.0|0.75|0.0|0.01|0.01|0.02|0.04|0.03|0.02|0.0|0.12|0.0|NA|TIF|D-tif|Y13|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0016_tif.bmp|FRAD021_15_H_193_0016.tif|127
0.6|0.01|0.01|0.0|0.01|0.0|0.23|0.0|0.02|0.03|0.05|0.03|NA|JPG|D-jpg|Y14|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0018_jpg.bmp|FRAD021_15_H_193_0018.jpg|374
0.15|0.07|0.02|0.01|0.02|0.01|0.25|0.01|0.05|0.01|0.39|0.01|NA|TIF|D-tif|Y14|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0018_tif.bmp|FRAD021_15_H_193_0018.tif|115
0.01|0.31|0.07|0.0|0.05|0.01|0.09|0.07|0.0|0.0|0.39|0.01|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0020_tif.bmp|FRAD021_15_H_193_0020.tif|208
0.0|0.84|0.0|0.0|0.0|0.14|0.0|0.0|0.02|0.0|0.01|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0022_tif.bmp|FRAD021_15_H_193_0022.tif|230
0.0|0.66|0.0|0.01|0.0|0.02|0.13|0.07|0.01|0.0|0.12|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_199_0002_tif.bmp|FRAD021_15_H_199_0002.tif|112
0.0|0.56|0.0|0.0|0.0|0.04|0.07|0.22|0.01|0.0|0.09|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_199_0004_tif.bmp|FRAD021_15_H_199_0004.tif|307
0.0|0.72|0.0|0.0|0.01|0.1|0.03|0.01|0.01|0.0|0.12|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_199_0006_tif.bmp|FRAD021_15_H_199_0006.tif|164
0.01|0.35|0.0|0.0|0.0|0.02|0.13|0.06|0.01|0.0|0.42|0.0|Script-2b|JPG|D-jpg|Y15|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_199_0008_jpg.bmp|FRAD021_15_H_199_0008.jpg|311
0.01|0.3|0.0|0.0|0.0|0.02|0.16|0.04|0.0|0.0|0.47|0.0|Script-2b|TIF|D-tif|Y15|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_199_0008_tif.bmp|FRAD021_15_H_199_0008.tif|83
0.0|0.83|0.0|0.0|0.0|0.02|0.03|0.02|0.0|0.0|0.09|0.0|Script-3-add|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_199_0010_tif.bmp|FRAD021_15_H_199_0010.tif|14
0.01|0.35|0.0|0.0|0.0|0.05|0.18|0.09|0.01|0.0|0.31|0.0|Script-2b|JPG|D-jpg|Y16|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_199_0012_jpg.bmp|FRAD021_15_H_199_0012.jpg|245
0.01|0.34|0.0|0.0|0.0|0.03|0.19|0.07|0.01|0.0|0.35|0.0|Script-2b|TIF|D-tif|Y16|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_199_0012_tif.bmp|FRAD021_15_H_199_0012.tif|326
0.01|0.8|0.0|0.0|0.0|0.02|0.04|0.01|0.0|0.0|0.1|0.0|Script-3-add|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_199_0014_tif.bmp|FRAD021_15_H_199_0014.tif|185
0.0|0.77|0.0|0.0|0.01|0.02|0.02|0.02|0.0|0.0|0.15|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_199_0016_tif.bmp|FRAD021_15_H_199_0016.tif|56
0.01|0.69|0.0|0.01|0.0|0.02|0.1|0.05|0.01|0.01|0.09|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_203_0002_tif.bmp|FRAD021_15_H_203_0002.tif|183
0.0|0.58|0.0|0.0|0.0|0.02|0.12|0.05|0.0|0.0|0.21|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_203_0004_tif.bmp|FRAD021_15_H_203_0004.tif|266
0.0|0.32|0.0|0.0|0.0|0.04|0.06|0.22|0.02|0.03|0.3|0.0|Script-2b|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_203_0006_tif.bmp|FRAD021_15_H_203_0006.tif|134
0.09|0.15|0.01|0.03|0.03|0.03|0.19|0.04|0.06|0.04|0.32|0.01|Script-3a|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_203_0008_jpg.bmp|FRAD021_15_H_203_0008.jpg|264
0.01|0.35|0.0|0.0|0.0|0.01|0.14|0.06|0.01|0.0|0.41|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_203_0010_tif.bmp|FRAD021_15_H_203_0010.tif|344
0.01|0.57|0.0|0.0|0.0|0.03|0.06|0.02|0.01|0.0|0.3|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_203_0014_tif.bmp|FRAD021_15_H_203_0014.tif|91
0.01|0.54|0.0|0.0|0.0|0.06|0.04|0.01|0.01|0.01|0.32|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_203_0016_tif.bmp|FRAD021_15_H_203_0016.tif|345
0.0|0.25|0.0|0.0|0.02|0.06|0.06|0.0|0.11|0.0|0.49|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_203_0018_tif.bmp|FRAD021_15_H_203_0018.tif|375
0.0|0.46|0.0|0.0|0.0|0.03|0.01|0.01|0.03|0.0|0.46|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_203_0020_tif.bmp|FRAD021_15_H_203_0020.tif|259
0.0|0.4|0.07|0.0|0.05|0.14|0.16|0.12|0.03|0.0|0.04|0.0|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_203_0027_jpg.bmp|FRAD021_15_H_203_0027.jpg|249
0.01|0.58|0.0|0.03|0.01|0.03|0.06|0.19|0.01|0.01|0.06|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_243_0004_tif.bmp|FRAD021_15_H_243_0004.tif|34
0.0|0.7|0.0|0.0|0.05|0.02|0.02|0.02|0.01|0.01|0.16|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_243_0006_tif.bmp|FRAD021_15_H_243_0006.tif|85
0.01|0.04|0.02|0.0|0.1|0.05|0.44|0.02|0.1|0.01|0.21|0.0|NA|JPG|D-jpg|Y17|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_243_0008_jpg.bmp|FRAD021_15_H_243_0008.jpg|316
0.01|0.07|0.04|0.0|0.07|0.03|0.23|0.01|0.05|0.01|0.48|0.0|NA|TIF|D-tif|Y17|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_243_0008_tif.bmp|FRAD021_15_H_243_0008.tif|246
0.0|0.26|0.1|0.0|0.01|0.06|0.12|0.02|0.06|0.0|0.38|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_243_0010_tif.bmp|FRAD021_15_H_243_0010.tif|109
0.02|0.44|0.0|0.02|0.01|0.02|0.1|0.03|0.02|0.03|0.31|0.01|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_243_0012_tif.bmp|FRAD021_15_H_243_0012.tif|136
0.0|0.65|0.0|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.25|0.0|Script-2a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_249_0004_tif.bmp|FRAD021_15_H_249_0004.tif|306
0.01|0.51|0.0|0.0|0.01|0.03|0.03|0.02|0.01|0.0|0.36|0.01|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_249_0006_tif.bmp|FRAD021_15_H_249_0006.tif|295
0.0|0.77|0.0|0.0|0.0|0.02|0.03|0.15|0.0|0.0|0.03|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_249_0010_tif.bmp|FRAD021_15_H_249_0010.tif|219
0.0|0.77|0.0|0.0|0.01|0.06|0.0|0.01|0.01|0.0|0.13|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_249_0014_tif.bmp|FRAD021_15_H_249_0014.tif|211
0.0|0.54|0.0|0.0|0.0|0.02|0.15|0.11|0.01|0.0|0.17|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_249_0016_tif.bmp|FRAD021_15_H_249_0016.tif|282
0.0|0.78|0.0|0.0|0.0|0.02|0.06|0.05|0.0|0.0|0.07|0.01|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_249_0018_tif.bmp|FRAD021_15_H_249_0018.tif|300
0.29|0.07|0.0|0.01|0.0|0.04|0.22|0.04|0.03|0.1|0.17|0.01|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_249_0020_jpg.bmp|FRAD021_15_H_249_0020.jpg|238
0.03|0.19|0.0|0.01|0.01|0.08|0.12|0.13|0.09|0.2|0.14|0.01|Script-2a|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_249_0022_jpg.bmp|FRAD021_15_H_249_0022.jpg|74
0.0|0.56|0.0|0.0|0.01|0.07|0.04|0.11|0.01|0.0|0.19|0.0|Script-3a|JPG|D-jpg|Y18|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_257_0002_jpg.bmp|FRAD021_15_H_257_0002.jpg|309
0.01|0.57|0.0|0.0|0.01|0.02|0.03|0.08|0.01|0.0|0.26|0.0|Script-3a|TIF|D-tif|Y18|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_257_0002_tif.bmp|FRAD021_15_H_257_0002.tif|39
0.01|0.6|0.0|0.01|0.01|0.07|0.02|0.03|0.02|0.01|0.21|0.01|Script-3-add|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_257_0004_tif.bmp|FRAD021_15_H_257_0004.tif|191
0.02|0.59|0.0|0.02|0.01|0.02|0.11|0.08|0.02|0.01|0.13|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_257_0006_tif.bmp|FRAD021_15_H_257_0006.tif|3
0.01|0.32|0.0|0.0|0.0|0.05|0.08|0.21|0.01|0.01|0.31|0.0|Script-2b|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_257_0008_tif.bmp|FRAD021_15_H_257_0008.tif|48
0.09|0.15|0.01|0.01|0.0|0.03|0.35|0.04|0.01|0.01|0.3|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_257_0010_tif.bmp|FRAD021_15_H_257_0010.tif|339
0.0|0.67|0.0|0.0|0.0|0.02|0.12|0.07|0.0|0.01|0.11|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_257_0012_tif.bmp|FRAD021_15_H_257_0012.tif|347
0.01|0.49|0.01|0.0|0.0|0.02|0.14|0.11|0.0|0.01|0.2|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_257_0014_tif.bmp|FRAD021_15_H_257_0014.tif|360
0.0|0.68|0.0|0.0|0.01|0.03|0.01|0.05|0.01|0.0|0.21|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_257_0016_tif.bmp|FRAD021_15_H_257_0016.tif|281
0.01|0.59|0.0|0.0|0.01|0.02|0.02|0.01|0.01|0.0|0.32|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_257_0018_tif.bmp|FRAD021_15_H_257_0018.tif|126
0.01|0.61|0.0|0.0|0.01|0.06|0.01|0.02|0.03|0.01|0.24|0.01|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_257_0020_tif.bmp|FRAD021_15_H_257_0020.tif|337
0.05|0.18|0.02|0.0|0.19|0.03|0.03|0.12|0.03|0.02|0.34|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_257_0022_tif.bmp|FRAD021_15_H_257_0022.tif|94
0.0|0.34|0.0|0.0|0.01|0.11|0.04|0.03|0.09|0.0|0.38|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_257_0024_tif.bmp|FRAD021_15_H_257_0024.tif|325
0.0|0.11|0.05|0.0|0.18|0.05|0.25|0.02|0.12|0.0|0.21|0.0|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_270_0002_jpg.bmp|FRAD021_15_H_270_0002.jpg|114
0.0|0.52|0.0|0.0|0.0|0.0|0.07|0.0|0.0|0.0|0.4|0.0|Script-2a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_273_0002_tif.bmp|FRAD021_15_H_273_0002.tif|314
0.34|0.05|0.0|0.02|0.01|0.01|0.2|0.02|0.07|0.14|0.1|0.03|Script-3-add|JPG|D-jpg|Y19|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_277_0002_jpg.bmp|FRAD021_15_H_277_0002.jpg|200
0.01|0.64|0.0|0.0|0.01|0.01|0.12|0.02|0.01|0.0|0.17|0.0|Script-3-add|TIF|D-tif|Y19|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_277_0002_tif.bmp|FRAD021_15_H_277_0002.tif|365
0.02|0.23|0.01|0.0|0.15|0.21|0.08|0.02|0.17|0.0|0.11|0.0|Script-3-add|JPG|D-jpg|Y20|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_278_0002_jpg.bmp|FRAD021_15_H_278_0002.jpg|41
0.01|0.38|0.01|0.01|0.1|0.1|0.03|0.01|0.13|0.01|0.21|0.0|Script-3-add|TIF|D-tif|Y20|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_278_0002_tif.bmp|FRAD021_15_H_278_0002.tif|235
0.0|0.3|0.0|0.0|0.02|0.02|0.07|0.07|0.05|0.01|0.46|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_278_0004_tif.bmp|FRAD021_15_H_278_0004.tif|242
0.0|0.64|0.0|0.0|0.0|0.04|0.12|0.05|0.0|0.0|0.13|0.0|Script-3a|JPG|D-jpg|Y21|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_279_0002_jpg.bmp|FRAD021_15_H_279_0002.jpg|124
0.01|0.63|0.0|0.0|0.0|0.03|0.1|0.05|0.01|0.0|0.17|0.0|Script-3a|TIF|D-tif|Y21|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_279_0002_tif.bmp|FRAD021_15_H_279_0002.tif|308
0.0|0.51|0.0|0.0|0.02|0.03|0.12|0.03|0.02|0.0|0.27|0.0|NA|JPG|D-jpg|Y22|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_282_0002_jpg.bmp|FRAD021_15_H_282_0002.jpg|283
0.0|0.56|0.0|0.0|0.01|0.0|0.07|0.03|0.01|0.0|0.32|0.0|NA|TIF|D-tif|Y22|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_282_0002_tif.bmp|FRAD021_15_H_282_0002.tif|358
0.0|0.38|0.0|0.0|0.0|0.01|0.06|0.0|0.0|0.0|0.54|0.0|Script-2b|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_284_0002_tif.bmp|FRAD021_15_H_284_0002.tif|271
0.01|0.48|0.0|0.0|0.0|0.01|0.17|0.1|0.0|0.0|0.21|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_291_0002_tif.bmp|FRAD021_15_H_291_0002.tif|144
0.01|0.43|0.01|0.0|0.0|0.04|0.15|0.04|0.01|0.0|0.31|0.0|NA|JPG|D-jpg|Y23|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_294_0002_jpg.bmp|FRAD021_15_H_294_0002.jpg|354
0.01|0.43|0.01|0.0|0.0|0.01|0.14|0.02|0.01|0.0|0.37|0.0|NA|TIF|D-tif|Y23|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_294_0002_tif.bmp|FRAD021_15_H_294_0002.tif|212
0.01|0.48|0.01|0.0|0.03|0.06|0.16|0.05|0.01|0.0|0.19|0.0|NA|JPG|D-jpg|Y24|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_317_0006_jpg.bmp|FRAD021_15_H_317_0006.jpg|343
0.0|0.52|0.02|0.0|0.02|0.02|0.12|0.03|0.01|0.0|0.26|0.0|NA|TIF|D-tif|Y24|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_317_0006_tif.bmp|FRAD021_15_H_317_0006.tif|172
0.03|0.48|0.0|0.0|0.01|0.02|0.1|0.17|0.01|0.01|0.16|0.01|Script-3-add|JPG|D-jpg|Y25|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_320_0002_jpg.bmp|FRAD021_15_H_320_0002.jpg|130
0.02|0.55|0.0|0.0|0.01|0.04|0.08|0.06|0.02|0.01|0.21|0.01|Script-3-add|TIF|D-tif|Y25|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_320_0002_tif.bmp|FRAD021_15_H_320_0002.tif|87
0.01|0.55|0.0|0.01|0.01|0.02|0.05|0.24|0.01|0.01|0.1|0.0|Script-3-add|JPG|D-jpg|Y26|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_320_0004_jpg.bmp|FRAD021_15_H_320_0004.jpg|108
0.01|0.64|0.0|0.02|0.01|0.02|0.04|0.1|0.02|0.01|0.13|0.0|Script-3-add|TIF|D-tif|Y26|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_320_0004_tif.bmp|FRAD021_15_H_320_0004.tif|151
0.02|0.64|0.0|0.01|0.01|0.03|0.07|0.11|0.01|0.01|0.09|0.0|Script-3a|JPG|D-jpg|Y27|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_320_0008_jpg.bmp|FRAD021_15_H_320_0008.jpg|317
0.02|0.6|0.0|0.01|0.01|0.01|0.05|0.12|0.01|0.01|0.16|0.0|Script-3a|TIF|D-tif|Y27|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_320_0008_tif.bmp|FRAD021_15_H_320_0008.tif|233
0.0|0.68|0.0|0.01|0.01|0.01|0.1|0.03|0.01|0.01|0.15|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_320_0010_tif.bmp|FRAD021_15_H_320_0010.tif|54
0.01|0.46|0.01|0.0|0.01|0.04|0.19|0.01|0.01|0.0|0.26|0.0|Script-2b|JPG|D-jpg|Y28|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_320_0012_jpg.bmp|FRAD021_15_H_320_0012.jpg|332
0.01|0.46|0.0|0.0|0.0|0.0|0.08|0.0|0.01|0.0|0.43|0.0|Script-2b|TIF|D-tif|Y28|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_320_0012_tif.bmp|FRAD021_15_H_320_0012.tif|79
0.01|0.1|0.01|0.01|0.11|0.02|0.3|0.05|0.19|0.02|0.17|0.02|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_320_0014_tif.bmp|FRAD021_15_H_320_0014.tif|78
0.01|0.1|0.05|0.0|0.11|0.06|0.28|0.05|0.08|0.0|0.27|0.0|NA|JPG|D-jpg|Y29|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_328_0008_jpg.bmp|FRAD021_15_H_328_0008.jpg|376
0.0|0.11|0.06|0.0|0.1|0.03|0.13|0.05|0.06|0.0|0.45|0.0|NA|TIF|D-tif|Y29|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_328_0008_tif.bmp|FRAD021_15_H_328_0008.tif|145
0.02|0.45|0.01|0.0|0.01|0.04|0.18|0.02|0.1|0.02|0.14|0.01|NA|JPG|D-jpg|Y30|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_328_0010_jpg.bmp|FRAD021_15_H_328_0010.jpg|82
0.02|0.38|0.01|0.0|0.01|0.02|0.19|0.02|0.09|0.02|0.25|0.0|NA|TIF|D-tif|Y30|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_328_0010_tif.bmp|FRAD021_15_H_328_0010.tif|357
0.01|0.26|0.07|0.0|0.03|0.03|0.08|0.01|0.01|0.0|0.49|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_328_0012_tif.bmp|FRAD021_15_H_328_0012.tif|268
0.04|0.16|0.01|0.02|0.07|0.04|0.15|0.07|0.07|0.01|0.34|0.0|Script-3a|TIF|D-tif|Y31|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_329_0002_tif.bmp|FRAD021_15_H_329_0002.tif|18
0.01|0.22|0.01|0.0|0.48|0.01|0.04|0.1|0.03|0.01|0.1|0.0|NA|TIF|D-tif|Y31|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_335_0002_tif.bmp|FRAD021_15_H_335_0002.tif|99
0.0|0.56|0.0|0.0|0.0|0.07|0.03|0.01|0.01|0.0|0.32|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_335_0004_tif.bmp|FRAD021_15_H_335_0004.tif|70
0.02|0.28|0.0|0.0|0.0|0.09|0.1|0.36|0.01|0.01|0.11|0.0|Script-2-add|JPG|D-jpg|Y32|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_337_0006_jpg.bmp|FRAD021_15_H_337_0006.jpg|47
0.01|0.38|0.0|0.0|0.0|0.05|0.09|0.33|0.01|0.01|0.1|0.0|Script-2-add|TIF|D-tif|Y32|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_337_0006_tif.bmp|FRAD021_15_H_337_0006.tif|241
0.0|0.84|0.0|0.0|0.0|0.02|0.03|0.01|0.0|0.0|0.09|0.0|Script-3-add|JPG|D-jpg|Y33|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_341_0002_jpg.bmp|FRAD021_15_H_341_0002.jpg|197
0.0|0.76|0.0|0.0|0.0|0.01|0.05|0.01|0.0|0.0|0.17|0.0|Script-3-add|TIF|D-tif|Y33|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_341_0002_tif.bmp|FRAD021_15_H_341_0002.tif|102
0.0|0.22|0.05|0.0|0.13|0.15|0.11|0.01|0.26|0.0|0.06|0.0|NA|JPG|D-jpg|Y34|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_357_0003_jpg.bmp|FRAD021_15_H_357_0003.jpg|247
0.0|0.27|0.09|0.0|0.08|0.09|0.05|0.01|0.2|0.0|0.2|0.0|NA|TIF|D-tif|Y34|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_357_0003_tif.bmp|FRAD021_15_H_357_0003.tif|12
0.0|0.72|0.0|0.01|0.0|0.02|0.09|0.06|0.01|0.0|0.08|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_357_0005_tif.bmp|FRAD021_15_H_357_0005.tif|319
0.01|0.34|0.0|0.0|0.0|0.04|0.25|0.04|0.01|0.0|0.3|0.0|NA|JPG|D-jpg|Y35|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_357_0007_jpg.bmp|FRAD021_15_H_357_0007.jpg|210
0.01|0.28|0.0|0.0|0.0|0.02|0.23|0.04|0.01|0.0|0.4|0.0|NA|TIF|D-tif|Y35|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_357_0007_tif.bmp|FRAD021_15_H_357_0007.tif|111
0.43|0.05|0.0|0.01|0.01|0.02|0.18|0.02|0.03|0.12|0.11|0.03|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_58_0002_jpg.bmp|FRAD021_15_H_58_0002.jpg|50
0.08|0.09|0.0|0.01|0.01|0.04|0.24|0.13|0.05|0.14|0.21|0.01|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_62_0003_jpg.bmp|FRAD021_15_H_62_0003.jpg|352
0.01|0.58|0.0|0.0|0.0|0.01|0.08|0.05|0.01|0.01|0.25|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_62_0007_tif.bmp|FRAD021_15_H_62_0007.tif|244
0.17|0.04|0.0|0.02|0.01|0.03|0.26|0.06|0.03|0.2|0.17|0.02|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_62_0009_jpg.bmp|FRAD021_15_H_62_0009.jpg|158
0.14|0.07|0.0|0.02|0.01|0.03|0.29|0.09|0.04|0.15|0.15|0.02|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_62_0015_jpg.bmp|FRAD021_15_H_62_0015.jpg|338
0.01|0.57|0.0|0.0|0.01|0.01|0.1|0.17|0.01|0.01|0.09|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_65_0002_tif.bmp|FRAD021_15_H_65_0002.tif|167
0.21|0.07|0.0|0.03|0.01|0.03|0.24|0.02|0.05|0.19|0.1|0.05|NA|JPG|D-jpg|Y36|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_65_0004_jpg.bmp|FRAD021_15_H_65_0004.jpg|24
0.02|0.49|0.0|0.0|0.01|0.01|0.1|0.02|0.02|0.01|0.3|0.01|NA|TIF|D-tif|Y36|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_65_0004_tif.bmp|FRAD021_15_H_65_0004.tif|221
0.27|0.1|0.01|0.01|0.01|0.02|0.22|0.05|0.01|0.03|0.24|0.04|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_66_0004_jpg.bmp|FRAD021_15_H_66_0004.jpg|287
0.35|0.04|0.0|0.02|0.0|0.02|0.1|0.03|0.01|0.06|0.35|0.02|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_66_0005_jpg.bmp|FRAD021_15_H_66_0005.jpg|22
0.18|0.08|0.01|0.01|0.01|0.06|0.27|0.06|0.04|0.15|0.09|0.04|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_66_0006_jpg.bmp|FRAD021_15_H_66_0006.jpg|146
0.03|0.26|0.0|0.0|0.01|0.02|0.2|0.08|0.03|0.03|0.33|0.01|NA|JPG|D-jpg|Y37|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_66_0008_jpg.bmp|FRAD021_15_H_66_0008.jpg|209
0.03|0.2|0.0|0.01|0.01|0.01|0.16|0.08|0.02|0.02|0.44|0.01|NA|TIF|D-tif|Y37|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_66_0008_tif.bmp|FRAD021_15_H_66_0008.tif|328
0.26|0.04|0.0|0.02|0.01|0.09|0.19|0.06|0.03|0.13|0.15|0.02|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_66_0010_jpg.bmp|FRAD021_15_H_66_0010.jpg|297
